condition,convo,subID,enjoy,connected,timingFirstClick,timingLastClick,timingPageSubmit,timingClickCount,comments
long,C,233,73,39,9.62,22.787,26.565,5,
long,C,235,89,96,52.734,65.648,67.734,2,
long,C,236,62,58,36.7,39.169,40.752,2,
long,C,242,91,91,33.014,36.017,38.746,2,
long,C,243,90,82,22.266,47.857,51.531,3,
long,C,247,19,36,4.234,43.253,44.892,5,
long,C,250,87,66,7.337,15.745,17.861,6,
long,C,251,67,78,49.787,54.272,56.145,4,
long,C,253,55,55,46.421,70.494,71.545,2,
long,C,254,98,98,3.692,7.091,39.335,3,nice
long,C,257,100,100,24.586,39.007,40.013,6,
long,C,258,92,97,11.137,16.136,39.059,4,they both had more involved in the conversation.
long,C,262,90,97,2.445,38.297,38.513,5,nice
long,C,267,88,74,8.464,36.753,39.567,5,
long,C,273,73,64,40.665,44.19,47.681,4,good
long,C,274,57,69,1.525,28.645,38.782,4,
long,C,279,84,100,28.796,46.305,50.945,3,No
long,C,286,73,79,44.127,59.054,76.621,6,speech sad
long,C,287,92,100,10.693,47.019,47.458,4,like great
long,C,290,84,70,172.281,189.193,196.749,5,
long,C,291,84,77,14.925,31.59,40.461,7,
long,C,295,84,79,109.357,110.399,140.815,2,
long,C,297,91,91,8.411,42.782,43.667,8,
long,C,300,74,74,34.943,39.464,40.716,2,
long,C,304,53,61,182.998,525.099,526.759,6,conversation breaking
long,C,306,0,0,2.237,3.173,37.533,2,
long,C,307,93,95,12.62,17.039,40.151,5,
long,C,308,100,74,79.651,98.155,110.049,3,
long,C,313,63,55,9.13,32.794,44.446,5,
long,C,317,72,69,8.046,12.18,27.038,3,
long,C,319,96,89,8.773,18.973,38.856,4,
long,C,325,68,66,8.587,18.013,54.714,3,
long,C,327,69,58,39.147,40.337,41.138,2,
long,C,329,56,45,37.72,40.27,41.46,2,
long,C,337,89,77,20.596,27.948,31.668,3,
long,C,339,86,90,298.282,302.172,302.617,5,
long,C,344,77,61,97.13,98.45,100.119,2,
long,C,345,100,100,14.32,45.278,46.063,4,GOOD
long,C,347,75,49,9.761,28.261,37.114,3,
long,C,349,76,68,6.837,36.466,38.849,6,
long,C,354,67,59,52.49,68.31,76.579,6,interactive
long,C,357,98,99,13.164,41.855,42.999,5,
long,C,359,79,65,50.165,53.057,54.543,2,
long,C,360,65,78,5.025,8.919,14.813,5,
long,C,361,20,25,38.737,40.48,41.486,2,
long,C,363,68,68,10.664,34.151,35.327,6,
long,C,370,87,77,10.428,15.538,39.79,3,
long,C,371,71,65,6.266,12.011,12.911,3,
long,C,375,61,58,5.536,8.698,12.288,3,good
long,C,380,61,84,41.326,44.054,53.994,3,Seem to know each other well.
long,C,383,68,62,41.679,49.023,57.079,4,
long,C,389,77,77,9.327,40.745,42.3,5,
long,C,390,27,20,10.204,31.052,40.652,3,
long,C,391,71,95,8.282,10.82,13.424,2,
long,C,395,82,77,9.545,12.341,37.943,2,
long,C,401,66,65,3.016,49.494,54.212,4,
long,C,402,42,32,21.588,36.132,38.977,3,
long,C,404,90,86,94.977,98.746,277.094,7,
long,C,406,77,83,292.441,304.106,315.77,4,very interesting
long,C,410,50,65,4.79,37.188,38.284,4,
long,C,414,71,72,22.68,39.544,41.648,4,
long,C,418,76,79,6.402,11.516,51.665,4,
long,C,419,75,69,26.604,33.648,39.127,8,
long,C,424,61,61,23.822,25.791,36.14,2,
long,C,425,88,80,11.668,32.841,37.378,7,
long,C,430,66,89,0.341,135.232,135.799,5,
long,C,433,59,69,105.717,119.777,124.236,3,
long,C,434,70,82,8.522,31.636,32.136,7,
long,C,438,28,45,3461.766,4078.579,4079.43,6,
long,C,440,84,70,24.076,28.368,39.139,3,
long,C,443,58,71,28.77,40.886,42.476,7,
long,C,448,73,77,11.144,23.248,40.641,5,
long,D,6,32,7,7.002,22.25,25.398,5,
long,D,8,50,48,6.966,22.148,23.669,10,
long,D,9,11,7,13.767,19.224,26.155,5,
long,D,12,35,44,8.844,17.299,25.424,3,
long,D,16,39,42,20.034,28.873,30.328,2,
long,D,21,87,95,4.051,6.363,7.53,3,
long,D,25,27,60,35.577,38.234,39.949,4,
long,D,28,29,29,10.693,28.429,30.514,3,
long,D,30,80,100,26.853,30.15,31.432,4,
long,D,31,38,74,5.836,11.761,25.13,4,Taliking for a friend
long,D,35,69,69,18.09,21.489,28.083,2,
long,D,38,71,65,31.24,35.801,37.188,3,
long,D,43,54,30,9.219,28.694,29.824,16,
long,D,44,62,60,15.772,22.286,26.415,3,
long,D,47,18,4,6.372,31.078,32.106,3,
long,D,50,22,4,8.587,15.846,44.068,3,
long,D,60,90,80,26.029,29.693,34.589,3,nice
long,D,62,79,69,0.928,3.719,41.285,5,
long,D,63,71,56,11.693,12.603,13.368,3,
long,D,64,74,83,28.872,30.624,32.157,2,
long,D,67,96,84,14.099,17.25,34.583,5,Interesting
