subID,partnerID,convo_flow,convo_enjoy,friends,speak,knew_before,knew_before_text,know_now,common,similar,attractive,attracted_to,extraverted,fun,disclosed,comfortable,extraverted_self,fun_self,disclosed_self,comfortable_self,length_self,length_partner,convo_order,round_robin_num
3,4,81,96,73,47,3,,39,59,66,64,25,50,80,50,,,,,69,,,2,1
3,2,65,69,72,42,10,,36,55,42,60,45,61,70,60,,,,,70,,,3,1
3,1,64,72,39,49,17,,34,41,39,41,27,61,51,48,,,,,80,,,4,1
3,8,72,78,74,47,15,,37,47,43,48,25,52,54,45,,,,,63,,,5,1
3,11,52,57,72,58,1,,23,41,44,41,9,44,46,31,,,,,71,,,6,1
3,5,59,80,64,52,6,,28,63,53,46,13,46,60,32,,,,,65,,,7,1
3,7,60,65,68,52,17,,51,60,58,56,21,54,73,57,,,,,75,,,8,1
3,9,77,70,71,53,13,,33,55,55,59,14,48,68,36,,,,,66,,,9,1
3,10,63,61,76,53,8,,27,59,56,41,12,54,58,35,,,,,77,,,10,1
4,10,82,88,86,65,25,Classmate in big lecture course,63,87,70,71,5,84,80,49,,,,,83,,,1,1
4,11,79,69,53,45,0,,52,77,36,56,4,55,48,53,,,,,86,,,2,1
4,5,68,59,44,43,0,,45,31,35,53,1,79,71,40,,,,,83,,,3,1
4,3,74,69,67,54,0,,53,44,52,78,3,39,56,11,,,,,86,,,4,1
4,1,100,100,100,50,0,,60,87,82,95,2,96,100,58,,,,,100,,,5,1
4,2,100,100,100,47,4,I've seen her in my neuro class,54,93,94,100,4,98,100,63,,,,,97,,,6,1
4,8,92,88,62,46,0,,52,63,33,78,5,71,44,53,,,,,95,,,7,1
4,6,95,86,47,46,7,She sits behind me in neuro class,45,73,30,75,6,70,58,77,,,,,95,,,8,1
4,7,98,95,83,56,0,,53,90,86,92,4,39,87,72,,,,,89,,,9,1
4,9,93,96,72,46,0,,54,76,65,77,5,70,62,38,,,,,87,,,10,1
5,11,83,84,84,50,0,,51,79,79,73,0,26,81,27,,,,,100,,,1,1
5,4,72,68,59,51,0,,33,66,41,42,0,18,66,28,,,,,69,,,2,1
5,1,99,98,100,51,93,"friends since early freshman year, same sorority, same psych class",95,100,90,91,0,100,100,53,,,,,100,,,3,1
5,10,98,97,97,85,0,,50,72,72,72,0,23,74,19,,,,,79,,,4,1
5,6,100,100,100,34,78,same sorority,71,85,71,94,0,31,68,82,,,,,98,,,5,1
5,8,89,85,69,34,0,,33,32,45,77,0,23,69,27,,,,,81,,,6,1
5,2,80,76,79,51,90,same sorority,90,72,67,89,0,52,63,66,,,,,88,,,7,1
5,3,60,60,63,62,0,,24,50,51,95,0,28,68,25,,,,,63,,,8,1
5,9,76,86,83,51,15,"took a class together, hadn't really spoken before",50,77,77,67,0,38,73,66,,,,,97,,,9,1
5,7,81,90,89,51,0,,56,66,59,49,0,35,70,51,,,,,83,,,10,1
6,3,66,63,56,58,0,,28,29,60,59,36,71,72,51,,,,,100,,,1,1
6,2,100,80,80,65,71,Sorority sisters,51,65,78,70,51,76,100,75,,,,,100,,,2,1
6,9,53,60,50,50,0,,26,30,43,27,0,51,51,35,,,,,76,,,3,1
6,10,50,50,22,50,1,Study group,24,28,37,7,0,52,52,46,,,,,100,,,4,1
6,1,87,68,80,49,52,Sorority sister,63,52,61,46,7,81,69,50,,,,,100,,,5,1
6,5,67,100,92,49,51,Sorority sister,62,48,56,42,0,75,75,58,,,,,100,,,6,1
6,8,68,56,50,67,0,,72,34,67,18,0,76,45,47,,,,,100,,,7,1
6,4,31,18,6,35,0,,12,17,35,0,0,47,17,32,,,,,100,,,8,1
6,7,15,7,19,51,0,,26,27,6,9,0,51,27,39,,,,,45,,,9,1
